Hugues Cocard
Pierre Audin
Mireille Laget
Jacques Gelis
Marie-France Morel
Jean Lecuir
Jean-Pierre Peter
Jean-Noel Biraben
Olivier Faure
Pierre Guillaume
Lucie Bourquelot
Yvonne Knibiehler
Andre Armengaud
M. Provost
Jean-Christophe Cassard
R. A. Griffiths
F. Poirault
A. Lespagnol
W. B. Smith
Alain Croix
Louis Michel
Maurice Lorent
Marcel Grandiere
Jean-Luc Marais
Agnes Guellec
Bernard Tanguy
Marie-Henriette Jullien de Pommerol
Catherine Jamet
Francois Roudaut
A. Guellec
Bernard Merdrignac
Alain Collas
Michael Jones
Max Thibault
Pierre Rainelli
Andre Coudouin
Yves Henry
Jean-Luc Sarrazin
G.-A. Runnals
Didier Riet
Anne Le Costevec
Jacques Godet
M. Bourin
Jean-Pierre Surrault
Benoit Garnot
Marie-Madeleine Muracciole
Jean Chagniot
Bruno Carriere
Genevieve Carriere
Jacques G. Petit
Robert Omnes
B. Maillard
Jean-Pierre Wallot
Roger Dupuy
Georges Mace
Fanch Gourvil
Michel Ostenc
Philippe Jacquin
Francois Roudault
Georges Minois
Francois Hincker
Michel Vovelle
Yves-Marie Berce
Andre-Jean Tudesq
Michel Dion
Jean-Clement Martin
Bernard Peschot
Jacques Naveau
Andre Lespagnol
J.-C. Allain
Michel-Noel Bossard
Isabelle Bonnot
Pierre Treuttel
Thierry Fillaut
Michel Quinton
Jacqueline Sainclivier
Yvon Tranvouez
Michel Peronnet
Annik Schon
Louis Chatellier
M. H. Froeschle-Chopard
Francoise Lautman
Roger Lerou
Paul Lerou
Alain J. Lemaitre
Y. Lambert
B. Merdrignac
Yves-Pascal Castel
Marc Venard
Bernard Cousin
Michele Menard
Guy Saupin
Jean Gallet
Ph. Gabillard
Jean-Francois Briere
Andre Coubard
Anne-Christine Faitrop
Therese Griguer
Bernard Beaupre
Christine Chapalalain-Nougaret
Alain de Dieuleveult
Francois Chappe
Annie Henwood
Jeremy Popkins
Rene Cintre
Brigitte Maillard
Patricia Lusson-Houdemon
Christian Bougeard
Yannick Hillion
Madeleine Sauzet
Marc Bouyssou
Andre Benoist
Michel Morineau
Philippe Calbo
Yves Defrance
Jacques Deniel
J.B. Piriou
Fanch Peru
Marie-Claude Guillerand-Champenier
Ei Ghoul Faycal
Bruno Blanvillain
Marc Knobel
Chedeville Andre
Nicole Genaille
Marie-Christine Budischovsky
Marie-Claude Berge
Anne Fillon
Max Roche
Emmanuel Breguet
Andre Delaporte
Jean-Christophe Brilloit
Marcelline Brun
Jean-Joseph Chevalier
Catherine Brisac
Veronique Chaussee
Martine Callias Bey
Nicole Blondel
Vannina Costa
Didier Alliou
Martine Villelongue
Francoise Gatouillat
Dominique Dantec
Chantal Bouchon
Denis Lavalle
Marc Auffret
Michel Nassiet
Pierre Contant
Jacques Termeau
Jean-Michel Matz
Jesus de Juana
Xavier Castro
Jean Queniart
Annie Saunier
C. Desplat
Nicole El Hajje-Kervevan
Nicole Pellegrin
A. Poyer
Andre Corvol
Micheline Baulant
Odile Magyar-Thevenin
Annik Pardailhe-Galabrun
Daniel-Odon Hurel
John R. Porter
Pierre-Yves Lambert
Alex Poyer
Francoise Huchet
Alain Jacobzone
Jean-Luc Bruzulier
Arlette Schweitz
Bernard Foubert
Lina Gouger
Jacques Mathieu
Normand Seguin
Jean-Claude Robert
Serge Courville
Marcel Moussette
Gilles Paquet
Renald Lessard
Serge Gagnon
Rene Hardy
Fanch Roudaut
Jean Roy
Robert Muchembled
Marie-Claude Dinet-Lecomte
